,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
371,5,22,20,1,0,25,4,lbw,4, South Africa,Centurion,Test ,13-01-2018,2
372,54,146,106,9,0,50.94,4,caught,1, South Africa,Johannesburg,Test ,24-01-2018,2
373,41,131,79,6,0,51.89,5,bowled,3, South Africa,Johannesburg,Test ,24-01-2018,2
374,112,164,119,10,0,94.11,3,caught,2, South Africa,Durban,ODI ,01-02-2018,2
375,46,64,50,4,1,92,3,not out,2, South Africa,Centurion,ODI ,04-02-2018,2
376,160,220,159,12,2,100.62,3,not out,1, South Africa,Cape Town,ODI ,07-02-2018,2
377,75,119,83,7,1,90.36,3,caught,1, South Africa,Johannesburg,ODI ,10-02-2018,2
378,36,76,54,2,0,66.66,3,run out,1, South Africa,Gqeberha,ODI ,13-02-2018,2
379,129,123,96,19,2,134.37,3,not out,2, South Africa,Centurion,ODI ,16-02-2018,2
380,26,26,20,2,1,130,4,lbw,1, South Africa,Johannesburg,T20I ,18-02-2018,2
381,1,6,5,0,0,20,4,caught,1, South Africa,Centurion,T20I ,21-02-2018,2
382,0,1,2,0,0,0,6,caught,1, Ireland,Dublin (Malahide),T20I ,27-06-2018,2
383,9,-,8,1,0,112.5,2,caught,1, Ireland,Dublin (Malahide),T20I ,29-06-2018,2
384,20,-,22,0,1,90.9,4,not out,2, England,Manchester,T20I ,03-07-2018,2
385,47,-,38,1,2,123.68,4,caught,1, England,Cardiff,T20I ,06-07-2018,2
386,43,-,29,2,2,148.27,4,caught,2, England,Bristol,T20I ,08-07-2018,2
387,75,-,82,7,0,91.46,3,stumped,2, England,Nottingham,ODI ,12-07-2018,2
388,45,-,56,2,0,80.35,3,lbw,2, England,Lord's,ODI ,14-07-2018,2
389,71,98,72,8,0,98.61,3,bowled,1, England,Leeds,ODI ,17-07-2018,2
390,149,277,225,22,1,66.22,4,caught,2, England,Birmingham,Test ,01-08-2018,2
391,51,185,93,4,0,54.83,4,lbw,4, England,Birmingham,Test ,01-08-2018,2
392,23,73,57,2,0,40.35,4,caught,1, England,Lord's,Test ,09-08-2018,2
393,17,57,29,2,0,58.62,5,caught,3, England,Lord's,Test ,09-08-2018,2
394,97,243,152,11,0,63.81,4,caught,1, England,Nottingham,Test ,18-08-2018,2
395,103,292,197,10,0,52.28,4,lbw,3, England,Nottingham,Test ,18-08-2018,2
396,46,100,71,6,0,64.78,4,caught,2, England,Southampton,Test ,30-08-2018,2
397,58,170,130,4,0,44.61,4,caught,4, England,Southampton,Test ,30-08-2018,2
398,49,112,70,6,0,70,4,caught,2, England,The Oval,Test ,07-09-2018,2
399,0,3,1,0,0,0,4,caught,4, England,The Oval,Test ,07-09-2018,2
400,139,341,230,10,0,60.43,4,caught,1, West Indies,Rajkot,Test ,04-10-2018,2
401,45,86,78,5,0,57.69,4,lbw,2, West Indies,Hyderabad,Test ,12-10-2018,2
403,140,-,107,21,2,130.84,3,stumped,2, West Indies,Guwahati,ODI ,21-10-2018,2
404,157,217,129,13,4,121.7,3,not out,1, West Indies,Visakhapatnam,ODI ,24-10-2018,2
405,107,-,119,10,1,89.91,3,bowled,2, West Indies,Pune,ODI ,27-10-2018,2
406,16,-,17,2,0,94.11,3,caught,1, West Indies,Brabourne,ODI ,29-10-2018,2
407,33,57,29,6,0,113.79,3,not out,2, West Indies,Thiruvananthapuram,ODI ,01-11-2018,2
408,4,-,8,0,0,50,4,caught,2, Australia,Brisbane,T20I ,21-11-2018,2
410,61,-,41,4,2,148.78,3,not out,2, Australia,Sydney,T20I ,25-11-2018,2
411,3,17,16,0,0,18.75,4,caught,1, Australia,Adelaide,Test ,06-12-2018,2
412,34,132,104,3,0,32.69,4,caught,3, Australia,Adelaide,Test ,06-12-2018,2
413,123,373,257,13,1,47.85,4,caught,2, Australia,Perth,Test ,14-12-2018,2
414,17,64,40,2,0,42.5,4,caught,4, Australia,Perth,Test ,14-12-2018,2
415,82,305,204,9,0,40.19,4,caught,1, Australia,Melbourne,Test ,26-12-2018,2
416,0,6,4,0,0,0,4,caught,3, Australia,Melbourne,Test ,26-12-2018,2
417,23,-,59,4,0,38.98,4,caught,1, Australia,Sydney,Test ,03-01-2019,2
418,3,10,8,0,0,37.5,3,caught,2, Australia,Sydney,ODI ,12-01-2019,2
419,104,150,112,5,2,92.85,3,caught,2, Australia,Adelaide,ODI ,15-01-2019,2
420,46,-,62,3,0,74.19,3,caught,2, Australia,Melbourne,ODI ,18-01-2019,2
421,45,59,59,3,0,76.27,3,caught,2, New Zealand,Napier,ODI ,23-01-2019,2
422,43,59,45,5,0,95.55,3,caught,1, New Zealand,Mount Maunganui,ODI ,26-01-2019,2
423,60,94,74,6,1,81.08,3,caught,2, New Zealand,Mount Maunganui,ODI ,28-01-2019,2
424,24,25,17,3,0,141.17,3,caught,1, Australia,Visakhapatnam,T20I ,24-02-2019,2
425,72,63,38,2,6,189.47,3,not out,1, Australia,Bengaluru,T20I ,27-02-2019,2
426,44,-,45,6,1,97.77,3,lbw,2, Australia,Hyderabad,ODI ,02-03-2019,2
427,116,-,120,10,0,96.66,3,caught,1, Australia,Nagpur,ODI ,05-03-2019,2
428,123,-,95,16,1,129.47,3,bowled,2, Australia,Ranchi,ODI ,08-03-2019,2
429,7,-,6,1,0,116.66,4,caught,1, Australia,Mohali,ODI ,10-03-2019,2
430,20,-,22,2,0,90.9,3,caught,2, Australia,Delhi,ODI ,13-03-2019,2
431,18,44,34,1,0,52.94,3,caught,2, South Africa,Southampton,ODI ,05-06-2019,2
432,82,128,77,4,2,106.49,3,caught,1, Australia,The Oval,ODI ,09-06-2019,2
433,77,105,65,7,0,118.46,3,caught,1, Pakistan,Manchester,ODI ,16-06-2019,2
434,67,105,63,5,0,106.34,3,caught,1, Afghanistan,Southampton,ODI ,22-06-2019,2
435,72,146,82,8,0,87.8,3,caught,1, West Indies,Manchester,ODI ,27-06-2019,2
436,66,103,76,7,0,86.84,3,caught,2, England,Birmingham,ODI ,30-06-2019,2
437,26,45,27,3,0,96.29,3,caught,1, Bangladesh,Birmingham,ODI ,02-07-2019,2
438,34,61,41,3,0,82.92,3,not out,2, Sri Lanka,Leeds,ODI ,06-07-2019,2
439,1,8,6,0,0,16.66,3,lbw,2, New Zealand,Manchester,ODI ,09-07-2019,2
440,19,-,29,1,0,65.51,3,caught,2, West Indies,Lauderhill,T20I ,03-08-2019,2
441,28,-,23,1,1,121.73,3,bowled,1, West Indies,Lauderhill,T20I ,04-08-2019,2
442,59,-,45,6,0,131.11,3,caught,2, West Indies,Providence,T20I ,06-08-2019,2
444,120,179,125,14,1,96,3,caught,1, West Indies,Port of Spain,ODI ,11-08-2019,2
445,114,127,99,14,0,115.15,3,not out,2, West Indies,Port of Spain,ODI ,14-08-2019,2
